MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,Age_House,Age_Renovation,Garage_age,TotalSF
RL,65.0,8450,1,1,3,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,2,4,PConc,2,4,3,2,706.0,6,0.0,150.0,856.0,GasA,0,1,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,2,8,6,0,3,Attchd,2,2.0,548.0,5,2,0,61,0,0,0,3,4,None,0,2,WD,Normal,208500.0,17,17,17.0,2566.0
RL,80.0,9600,1,1,3,Lvl,AllPub,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,6,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,2,4,1,0,978.0,6,0.0,284.0,1262.0,GasA,0,1,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,3,6,6,1,5,Attchd,2,2.0,460.0,5,2,298,0,0,0,0,3,4,None,0,1,WD,Normal,181500.0,44,44,44.0,2524.0
RL,68.0,11250,1,1,0,Lvl,AllPub,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,2,4,PConc,2,4,2,2,486.0,6,0.0,434.0,920.0,GasA,0,1,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,2,6,6,1,5,Attchd,2,2.0,608.0,5,2,0,42,0,0,0,3,4,None,0,2,WD,Normal,223500.0,19,18,19.0,2706.0
RL,60.0,9550,1,1,0,Lvl,AllPub,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,4,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,4,BrkTil,4,1,3,0,216.0,6,0.0,540.0,756.0,GasA,2,1,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,2,7,6,1,2,Detchd,3,3.0,642.0,5,2,0,35,272,0,0,3,4,None,0,0,WD,Abnorml,140000.0,105,50,22.0,2473.0
RL,84.0,14260,1,1,0,Lvl,AllPub,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,4,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,2,4,PConc,2,4,0,2,655.0,6,0.0,490.0,1145.0,GasA,0,1,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,2,9,6,1,5,Attchd,2,3.0,836.0,5,2,192,84,0,0,0,3,4,None,0,2,WD,Normal,250000.0,20,20,20.0,3343.0
RL,85.0,14115,1,1,0,Lvl,AllPub,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,Wood,2,4,3,2,732.0,6,0.0,64.0,796.0,GasA,0,1,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,3,5,6,0,3,Attchd,3,2.0,480.0,5,2,40,30,0,320,0,3,2,Shed,700,3,WD,Normal,143000.0,27,25,27.0,2158.0
RL,75.0,10084,1,1,3,Lvl,AllPub,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,4,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,2,4,PConc,0,4,0,2,1369.0,6,0.0,317.0,1686.0,GasA,0,1,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,2,7,6,1,2,Attchd,2,2.0,636.0,5,2,255,57,0,0,0,3,4,None,0,1,WD,Normal,307000.0,16,15,16.0,3380.0
RL,87.18,10382,1,1,0,Lvl,AllPub,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,7,5,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,4,CBlock,2,4,2,0,859.0,1,32.0,216.0,1107.0,GasA,0,1,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,3,7,6,2,5,Attchd,2,2.0,484.0,5,2,235,204,228,0,0,3,4,Shed,350,3,WD,Normal,200000.0,47,47,47.0,3197.0
RM,51.0,6120,1,1,3,Lvl,AllPub,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,4,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,4,BrkTil,4,4,3,6,0.0,6,0.0,952.0,952.0,GasA,2,1,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,3,8,2,2,5,Detchd,3,2.0,468.0,5,2,90,0,205,0,0,3,4,None,0,2,WD,Abnorml,129900.0,89,70,89.0,2726.0
RL,50.0,7420,1,1,3,Lvl,AllPub,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,3,2,851.0,6,0.0,140.0,991.0,GasA,0,1,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,3,5,6,2,5,Attchd,2,1.0,205.0,5,2,0,4,0,0,0,3,4,None,0,2,WD,Normal,118000.0,81,70,81.0,2068.0
RL,70.0,11200,1,1,3,Lvl,AllPub,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,5,4,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,4,3,5,906.0,6,0.0,134.0,1040.0,GasA,0,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,3,Detchd,3,1.0,384.0,5,2,0,0,0,0,0,3,4,None,0,2,WD,Normal,129500.0,55,55,55.0,2080.0
